samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
shelter,Wedgwood/View Ridge,14,14,13.16727479,3.408475688,7.737493192,12.74709211,21.00337447,11.94685972
shelter,Whittier Heights,2,2,4.264140688,1.721165034,1.846267292,3.954141192,8.470560438,3.400169827
shelter,Montlake/Portage Bay,7,7,7.656535008,2.489261493,3.911566188,7.281347602,13.5567745,6.58550089
shelter,Miller Park,0,0,3.120855513,1.390542993,1.237773469,2.85064965,6.56687365,2.378524913
shelter,First Hill,2,2,4.264140688,1.721165034,1.846267292,3.954141192,8.470560438,3.400169827
shelter,Columbia City,21,21,19.14018874,4.189458054,12.23544282,18.69750784,28.57621855,17.84289624
shelter,Roxhill/Westwood,26,26,23.56887038,4.686590003,15.71354131,23.11626772,34.01051817,22.237352
shelter,Broadview/Bitter Lake,4,4,5.543565868,2.040051699,2.587027541,5.20243813,10.46421625,4.58198415
shelter,Ravenna/Bryant,23,23,20.89887904,4.393520859,13.60478879,20.45180014,30.74865146,19.58630167
shelter,Laurelhurst/Sand Point,8,8,8.401475888,2.631087226,4.401859743,8.017481507,14.60563128,7.301552952
shelter,Capitol Hill,2,2,4.264140688,1.721165034,1.846267292,3.954141192,8.470560438,3.400169827
shelter,Greenwood/Phinney Ridge,18,18,16.54090181,3.868563583,10.24548713,16.10624144,25.32308465,15.27120405
shelter,Haller Lake,5,5,6.225085207,2.193793415,3.00216637,5.871138104,11.48418013,5.222724488
shelter,North Beach/Blue Ridge,4,4,5.543565868,2.040051699,2.587027541,5.20243813,10.46421625,4.58198415
shelter,Green Lake,4,4,5.543565868,2.040051699,2.587027541,5.20243813,10.46421625,4.58198415
shelter,Ballard,1,1,3.673463211,1.556887711,1.52464431,3.382199882,7.504765146,2.867313806
shelter,Fremont,2,2,4.264140688,1.721165034,1.846267292,3.954141192,8.470560438,3.400169827
shelter,Magnolia,1,1,3.673463211,1.556887711,1.52464431,3.382199882,7.504765146,2.867313806
shelter,Madison Park,2,2,4.264140688,1.721165034,1.846267292,3.954141192,8.470560438,3.400169827
shelter,North Capitol Hill,0,0,3.120855513,1.390542993,1.237773469,2.85064965,6.56687365,2.378524913
shelter,Cascade/Eastlake,0,0,3.120855513,1.390542993,1.237773469,2.85064965,6.56687365,2.378524913
shelter,Downtown Commercial Core,40,40,36.37790608,5.894799323,26.19098406,35.90947869,49.23895264,34.99103139
shelter,Duwamish/SODO,8,8,8.401475888,2.631087226,4.401859743,8.017481507,14.60563128,7.301552952
shelter,West Seattle Junction/Genesee Hill,1,1,3.673463211,1.556887711,1.52464431,3.382199882,7.504765146,2.867313806
shelter,North Beacon Hill/Jefferson Park,38,38,34.52159508,5.735397718,24.64350042,34.05477374,47.0648937,33.1403965
shelter,Georgetown,9,9,9.163097194,2.769136074,4.913440334,8.771285406,15.66097145,8.037382326
shelter,South Park,12,12,11.53158334,3.16224358,6.560041104,11.12099016,18.85607538,10.34323386
shelter,Rainier Beach,16,16,14.83903361,3.6435351,8.968346122,14.41095725,23.15991995,13.59164034
shelter,Sunset Hill/Loyal Heights,1,1,3.673463211,1.556887711,1.52464431,3.382199882,7.504765146,2.867313806
shelter,Belltown,39,39,35.44887666,5.815567104,25.4154964,34.98123313,48.15202713,34.06477884
shelter,Mt. Baker/North Rainier,8,8,8.401475888,2.631087226,4.401859743,8.017481507,14.60563128,7.301552952
shelter,Alki/Admiral,1,1,3.673463211,1.556887711,1.52464431,3.382199882,7.504765146,2.867313806
shelter,North Delridge,12,12,11.53158334,3.16224358,6.560041104,11.12099016,18.85607538,10.34323386
shelter,Beacon Hill,18,18,16.54090181,3.868563583,10.24548713,16.10624144,25.32308465,15.27120405
shelter,Fauntleroy/Seaview,4,4,5.543565868,2.040051699,2.587027541,5.20243813,10.46421625,4.58198415
shelter,Riverview,9,9,9.163097194,2.769136074,4.913440334,8.771285406,15.66097145,8.037382326
shelter,South Beacon Hill/NewHolly,19,19,17.40162386,3.977635248,10.89954155,16.9640708,26.40653311,16.12205436
shelter,Seward Park,11,11,10.72958069,3.034544027,5.993977676,10.32457721,17.78699271,9.560109946
shelter,University District,8,8,8.401475888,2.631087226,4.401859743,8.017481507,14.60563128,7.301552952
shelter,Madrona/Leschi,12,12,11.53158334,3.16224358,6.560041104,11.12099016,18.85607538,10.34323386
atHome,Olympic Hills/Victory Heights,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Cedar Park/Meadowbrook,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Northgate/Maple Leaf,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Wallingford,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Interbay,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Queen Anne,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Central Area/Squire Park,2,2,0.65760414,0.112160454,0.465132935,0.648242393,0.903529603,0.629924659
atHome,Judkins Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Pioneer Square/International District,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,High Point,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Arbor Heights,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,NA,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Highland Park,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Licton Springs,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Wedgwood/View Ridge,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
atHome,Whittier Heights,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Montlake/Portage Bay,0,0,0.657462104,0.112136231,0.465032469,0.648102379,0.903334454,0.629788601
atHome,Miller Park,1,1,0.657533118,0.112148342,0.465082699,0.648172382,0.903432023,0.629856626
