CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Broadview/Bitter Lake,vic,2018_W49,3.90E-09,2.62E-55,3.89E-09,5.27E+37,3.91E-09,1
Capitol Hill,vic,2018_W49,6.46E-07,2.35E-12,6.46E-07,0.175519155,6.47E-07,2
Cascade/Eastlake,vic,2018_W49,5.89E-06,2.82E-11,5.89E-06,1.215239048,5.89E-06,3
Cedar Park/Meadowbrook,vic,2018_W49,1.89E-05,1.08E-10,1.89E-05,3.283373871,1.89E-05,3
Central Area/Squire Park,vic,2018_W49,1.71E-05,9.59E-11,1.71E-05,3.03566521,1.71E-05,3
Columbia City,vic,2018_W49,2.83E-06,1.09E-11,2.83E-06,0.727644451,2.83E-06,3
Downtown Commercial Core,vic,2018_W49,1.09E-06,2.57E-12,1.09E-06,0.454839056,1.09E-06,2
Duwamish/SODO,vic,2018_W49,2.71E-06,3.92E-12,2.71E-06,1.856944618,2.72E-06,2
Fauntleroy/Seaview,vic,2018_W49,3.78E-11,1.41E-18,3.80E-11,0.000976874,3.83E-11,1
First Hill,vic,2018_W49,9.81E-06,4.41E-11,9.81E-06,2.162588061,9.82E-06,3
Fremont,vic,2018_W49,4.77E-06,2.10E-11,4.77E-06,1.070645954,4.77E-06,3
Georgetown,vic,2018_W49,4.24E-07,2.98E-13,4.24E-07,0.59086487,4.25E-07,2
Green Lake,vic,2018_W49,9.25E-07,3.07E-12,9.25E-07,0.275306801,9.26E-07,2
Greenwood/Phinney Ridge,vic,2018_W49,2.13E-05,1.13E-10,2.13E-05,3.984978565,2.13E-05,3
Haller Lake,vic,2018_W49,4.23E-09,1.84E-55,4.23E-09,8.89E+37,4.24E-09,1
High Point,vic,2018_W49,5.45E-08,2.76E-14,5.47E-08,0.105101654,5.49E-08,1
Highland Park,vic,2018_W49,4.27E-09,1.76E-55,4.27E-09,9.40E+37,4.28E-09,1
Interbay,vic,2018_W49,1.66E-05,7.60E-11,1.66E-05,3.588820701,1.66E-05,3
Judkins Park,vic,2018_W49,2.06E-05,1.05E-10,2.06E-05,3.999265022,2.06E-05,3
Laurelhurst/Sand Point,vic,2018_W49,8.11E-06,2.80E-11,8.10E-06,2.321507787,8.11E-06,3
Licton Springs,vic,2018_W49,5.13E-05,2.17E-10,5.13E-05,12.03010587,5.13E-05,4
Madison Park,vic,2018_W49,5.50E-09,5.64E-56,5.49E-09,4.88E+38,5.51E-09,1
Madrona/Leschi,vic,2018_W49,1.88E-05,8.75E-11,1.88E-05,3.99121508,1.88E-05,3
Magnolia,vic,2018_W49,0.000119711,6.00E-10,0.00011969,23.65716707,0.000119711,5
Miller Park,vic,2018_W49,9.05E-06,3.12E-11,9.05E-06,2.598729075,9.05E-06,3
Montlake/Portage Bay,vic,2018_W49,4.75E-05,2.41E-10,4.75E-05,9.300686368,4.75E-05,4
Mt. Baker/North Rainier,vic,2018_W49,1.45E-05,6.64E-11,1.45E-05,3.129001631,1.45E-05,3
NA,vic,2018_W49,1.28E-08,7.45E-58,1.28E-08,2.00E+41,1.29E-08,1
North Beach/Blue Ridge,vic,2018_W49,2.79E-09,1.07E-54,2.79E-09,6.63E+36,2.79E-09,1
North Beacon Hill/Jefferson Park,vic,2018_W49,1.03E-06,3.15E-12,1.03E-06,0.335777915,1.04E-06,2
North Capitol Hill,vic,2018_W49,6.52E-06,1.86E-11,6.52E-06,2.266137466,6.52E-06,3
North Delridge,vic,2018_W49,1.42E-05,4.83E-11,1.42E-05,4.109415863,1.42E-05,3
Northgate/Maple Leaf,vic,2018_W49,5.64E-06,2.96E-11,5.64E-06,1.064211513,5.64E-06,3
Olympic Hills/Victory Heights,vic,2018_W49,3.37E-08,7.77E-14,3.37E-08,0.014345792,3.38E-08,1
Pioneer Square/International District,vic,2018_W49,5.17E-06,2.47E-11,5.17E-06,1.071737014,5.17E-06,3
Queen Anne,vic,2018_W49,4.04E-06,1.92E-11,4.04E-06,0.840162545,4.04E-06,3
Rainier Beach,vic,2018_W49,2.10E-09,3.29E-54,2.09E-09,1.22E+36,2.10E-09,1
Ravenna/Bryant,vic,2018_W49,4.24E-06,2.10E-11,4.24E-06,0.847944145,4.24E-06,3
Riverview,vic,2018_W49,8.45E-06,2.39E-11,8.45E-06,2.95359866,8.45E-06,3
Roxhill/Westwood,vic,2018_W49,2.44E-08,1.07E-14,2.44E-08,0.053994618,2.46E-08,1
