GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033023601,h3n2,2019_W02,1.66E-06,1.58E-58,1.65E-06,1.57E+46,1.66E-06,1
53033023603,h3n2,2019_W02,1.47E-06,8.43E-58,1.47E-06,2.34E+45,1.47E-06,1
53033023604,h3n2,2019_W02,1.81E-06,5.49E-59,1.81E-06,5.41E+46,1.81E-06,1
53033023700,h3n2,2019_W02,1.40E-06,1.32E-57,1.39E-06,1.34E+45,1.40E-06,1
53033023801,h3n2,2019_W02,2.12E-06,4.69E-60,2.11E-06,8.63E+47,2.12E-06,1
53033023803,h3n2,2019_W02,1.44E-06,8.17E-58,1.44E-06,2.31E+45,1.44E-06,1
53033023804,h3n2,2019_W02,1.72E-06,7.54E-59,1.72E-06,3.55E+46,1.72E-06,1
53033023900,h3n2,2019_W02,1.45E-06,5.74E-58,1.45E-06,3.33E+45,1.45E-06,1
53033024000,h3n2,2019_W02,1.46E-06,4.82E-58,1.46E-06,4.03E+45,1.46E-06,1
53033024100,h3n2,2019_W02,1.58E-06,1.33E-58,1.58E-06,1.71E+46,1.58E-06,1
53033024200,h3n2,2019_W02,1.01E-06,2.27E-56,1.01E-06,4.10E+43,1.01E-06,1
53033024300,h3n2,2019_W02,8.67E-07,1.51E-55,8.65E-07,4.53E+42,8.67E-07,1
53033024400,h3n2,2019_W02,1.48E-06,3.37E-58,1.48E-06,5.90E+45,1.48E-06,1
53033024500,h3n2,2019_W02,1.31E-06,1.73E-57,1.31E-06,9.00E+44,1.31E-06,1
