GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033022001,h1n1pdm,2018_W47,1.66E-09,9.67E-15,1.66E-09,0.000281775,1.66E-09,1
53033022003,h1n1pdm,2018_W47,0.000329961,9.11E-07,0.000329933,0.118930011,0.000329962,4
53033022005,h1n1pdm,2018_W47,1.00E-08,2.41E-72,1.00E-08,3.69E+55,1.00E-08,1
53033022006,h1n1pdm,2018_W47,0.000160681,1.51E-06,0.00016067,0.017082807,0.000160681,3
53033022101,h1n1pdm,2018_W47,2.69E-06,4.22E-10,2.69E-06,0.017016952,2.69E-06,2
53033022102,h1n1pdm,2018_W47,7.21E-09,3.54E-71,7.20E-09,1.30E+54,7.21E-09,1
53033022201,h1n1pdm,2018_W47,1.16E-05,8.33E-08,1.16E-05,0.001602963,1.16E-05,3
53033022202,h1n1pdm,2018_W47,2.17E-06,3.42E-10,2.17E-06,0.013740185,2.17E-06,2
53033022203,h1n1pdm,2018_W47,5.84E-09,1.78E-70,5.83E-09,1.70E+53,5.84E-09,1
53033022300,h1n1pdm,2018_W47,5.67E-06,1.33E-08,5.67E-06,0.002398693,5.67E-06,2
53033022400,h1n1pdm,2018_W47,7.23E-09,3.53E-71,7.22E-09,1.31E+54,7.23E-09,1
53033022500,h1n1pdm,2018_W47,0.000131741,2.40E-07,0.000131729,0.071981358,0.000131741,3
53033022603,h1n1pdm,2018_W47,0.000178775,3.25E-07,0.000178758,0.097774448,0.000178775,3
53033022604,h1n1pdm,2018_W47,1.14E-08,7.78E-73,1.13E-08,1.47E+56,1.14E-08,1
53033022605,h1n1pdm,2018_W47,2.78E-09,1.61E-14,2.77E-09,0.000472396,2.78E-09,1
53033022606,h1n1pdm,2018_W47,1.35E-08,1.74E-73,1.35E-08,9.21E+56,1.35E-08,1
53033022701,h1n1pdm,2018_W47,0.000134195,2.44E-07,0.000134182,0.073373482,0.000134195,3
53033022702,h1n1pdm,2018_W47,1.04E-08,1.72E-72,1.04E-08,5.61E+55,1.04E-08,1
53033022703,h1n1pdm,2018_W47,1.11E-08,1.01E-72,1.11E-08,1.09E+56,1.11E-08,1
53033022801,h1n1pdm,2018_W47,1.12E-08,9.23E-73,1.12E-08,1.20E+56,1.12E-08,1
53033022802,h1n1pdm,2018_W47,1.10E-08,1.10E-72,1.10E-08,9.75E+55,1.10E-08,1
53033022803,h1n1pdm,2018_W47,1.25E-05,2.93E-08,1.25E-05,0.005285056,1.25E-05,3
53033022901,h1n1pdm,2018_W47,1.08E-08,1.16E-72,1.08E-08,9.00E+55,1.08E-08,1
53033022902,h1n1pdm,2018_W47,1.23E-08,4.02E-73,1.23E-08,3.31E+56,1.23E-08,1
53033023000,h1n1pdm,2018_W47,3.89E-07,2.52E-10,3.89E-07,0.000596469,3.89E-07,1
53033023100,h1n1pdm,2018_W47,1.14E-08,8.42E-73,1.13E-08,1.35E+56,1.14E-08,1
53033023201,h1n1pdm,2018_W47,9.57E-09,3.51E-72,9.55E-09,2.31E+55,9.57E-09,1
53033023202,h1n1pdm,2018_W47,1.15E-08,6.71E-73,1.15E-08,1.75E+56,1.15E-08,1
53033023300,h1n1pdm,2018_W47,3.85E-08,5.60E-13,3.85E-08,0.002626883,3.85E-08,1
53033023401,h1n1pdm,2018_W47,1.37E-08,1.50E-73,1.37E-08,1.10E+57,1.37E-08,1
53033023403,h1n1pdm,2018_W47,1.29E-08,2.62E-73,1.28E-08,5.57E+56,1.29E-08,1
53033023404,h1n1pdm,2018_W47,1.33E-08,1.98E-73,1.33E-08,7.92E+56,1.33E-08,1
53033023500,h1n1pdm,2018_W47,1.34E-08,1.85E-73,1.34E-08,8.56E+56,1.34E-08,1
53033023601,h1n1pdm,2018_W47,1.18E-08,6.01E-73,1.17E-08,2.03E+56,1.18E-08,1
53033023603,h1n1pdm,2018_W47,1.05E-08,1.51E-72,1.05E-08,6.47E+55,1.05E-08,1
53033023604,h1n1pdm,2018_W47,1.24E-08,3.58E-73,1.24E-08,3.82E+56,1.24E-08,1
53033023700,h1n1pdm,2018_W47,3.50E-06,5.49E-10,3.50E-06,0.022222445,3.50E-06,2
53033023801,h1n1pdm,2018_W47,1.48E-08,7.40E-74,1.47E-08,2.60E+57,1.48E-08,1
53033023803,h1n1pdm,2018_W47,9.92E-05,1.17E-07,9.91E-05,0.083331317,9.92E-05,3
53033023804,h1n1pdm,2018_W47,1.23E-08,3.83E-73,1.23E-08,3.52E+56,1.23E-08,1
53033023900,h1n1pdm,2018_W47,3.59E-06,5.62E-10,3.59E-06,0.022752917,3.59E-06,2
53033024000,h1n1pdm,2018_W47,1.11E-08,9.67E-73,1.11E-08,1.13E+56,1.11E-08,1
53033024100,h1n1pdm,2018_W47,1.21E-08,4.25E-73,1.21E-08,3.07E+56,1.21E-08,1
53033024200,h1n1pdm,2018_W47,3.14E-06,4.87E-09,3.14E-06,0.002011202,3.14E-06,2
53033024300,h1n1pdm,2018_W47,2.52E-07,1.16E-11,2.52E-07,0.005416825,2.52E-07,1
53033024400,h1n1pdm,2018_W47,1.17E-08,5.97E-73,1.17E-08,2.02E+56,1.17E-08,1
53033024500,h1n1pdm,2018_W47,9.92E-09,2.59E-72,9.90E-09,3.37E+55,9.92E-09,1
53033024601,h1n1pdm,2018_W47,8.17E-05,4.75E-07,8.17E-05,0.0139951,8.17E-05,3
53033024602,h1n1pdm,2018_W47,2.33E-06,3.66E-10,2.33E-06,0.014779253,2.33E-06,2
53033024701,h1n1pdm,2018_W47,1.23E-08,5.56E-73,1.22E-08,2.39E+56,1.23E-08,1
53033024702,h1n1pdm,2018_W47,1.21E-08,6.04E-73,1.21E-08,2.13E+56,1.21E-08,1
53033024800,h1n1pdm,2018_W47,0.005088132,9.14E-05,0.005087839,0.282222314,0.005088132,5
