PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11602,rsva,2019_W14,0.243106844,0.162264878,0.243104629,0.36410767,0.243104222,5
11603,rsva,2019_W14,0.180247244,0.118984739,0.180248863,0.272934068,0.180255488,5
11604,rsva,2019_W14,0.360148714,0.245936338,0.360081565,0.527760668,0.359952535,5
11605,rsva,2019_W14,0.36939149,0.250757363,0.369333502,0.544428884,0.369223119,5
11606,rsva,2019_W14,0.500949797,0.297877372,0.501388303,0.837974694,0.502275913,5
11607,rsva,2019_W14,1.047833751,0.709562114,1.047991207,1.54551382,1.048326036,5
11608,rsva,2019_W14,0.190507072,0.095193336,0.190515678,0.380909476,0.190539157,5
11609,rsva,2019_W14,0.172929762,0.090092602,0.172902961,0.332013388,0.172853956,5
11610,rsva,2019_W14,0.114696294,0.051172052,0.114802141,0.255569855,0.115017235,5
11611,rsva,2019_W14,0.071311535,0.028973051,0.071291101,0.175650255,0.071252981,4
11612,rsva,2019_W14,0.159083548,0.075662015,0.159785702,0.326270691,0.161216251,5
11613,rsva,2019_W14,0.064258316,0.025247279,0.064287511,0.162991836,0.064348915,4
