PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11613,yam,2019_W14,5.70E-06,1.92E-23,5.69E-06,1.63078E+12,5.70E-06,1
11614,yam,2019_W14,0.011798127,0.001731899,0.011797641,0.080249232,0.011797642,5
11615,yam,2019_W14,0.005167632,0.000632641,0.005167445,0.042138546,0.005167538,4
11616,yam,2019_W14,0.004645817,0.000445194,0.004645453,0.04839857,0.004645191,4
11601,yam,2019_W15,0.011778222,0.002615198,0.01177781,0.052983593,0.011777748,5
11602,yam,2019_W15,0.017806739,0.00395163,0.017806176,0.080143988,0.017806202,5
11603,yam,2019_W15,0.018360053,0.004166094,0.01835945,0.080818183,0.018359413,5
11604,yam,2019_W15,0.015424654,0.003481834,0.015424191,0.068250248,0.01542425,5
11605,yam,2019_W15,0.007022072,0.001429682,0.00702205,0.034440275,0.007022488,4
11606,yam,2019_W15,0.006633337,0.000984791,0.006633062,0.044613117,0.006633055,4
11607,yam,2019_W15,0.001817246,0.000144541,0.001817121,0.022803268,0.001817067,3
11608,yam,2019_W15,0.01089514,0.001719118,0.010894526,0.068954449,0.01089416,5
11609,yam,2019_W15,0.006404512,0.000813738,0.006404202,0.050325005,0.006404148,4
11610,yam,2019_W15,0.010898137,0.001854027,0.010897731,0.063969803,0.010897749,5
11611,yam,2019_W15,0.003463592,0.000365826,0.00346329,0.032741297,0.003463019,3
11612,yam,2019_W15,0.000314304,1.71E-06,0.000314424,0.057413438,0.000314737,1
11613,yam,2019_W15,5.34E-06,6.40E-24,5.33E-06,4.29901E+12,5.34E-06,1
11614,yam,2019_W15,0.010792343,0.001538229,0.010791761,0.075607819,0.010791499,5
11615,yam,2019_W15,0.004926309,0.000593779,0.004926088,0.040802449,0.004926094,4
11616,yam,2019_W15,0.005020925,0.000526427,0.005020578,0.047807915,0.005020372,4
11601,yam,2019_W16,0.009734453,0.00212519,0.009734191,0.044533381,0.009734305,5
11602,yam,2019_W16,0.01482437,0.003261349,0.014823969,0.067300662,0.014824131,5
11603,yam,2019_W16,0.015348558,0.003448356,0.01534812,0.068233712,0.015348229,5
11604,yam,2019_W16,0.012572872,0.002800882,0.012572616,0.05636728,0.012572917,5
11605,yam,2019_W16,0.00539502,0.001055909,0.005395259,0.027517233,0.00539612,4
11606,yam,2019_W16,0.006520435,0.000976572,0.006520168,0.043470435,0.006520166,4
11607,yam,2019_W16,0.001842433,0.000157119,0.001842339,0.021562554,0.001842345,3
11608,yam,2019_W16,0.009077597,0.001355475,0.009077193,0.060701809,0.009077127,5
11609,yam,2019_W16,0.005145877,0.000595216,0.005145852,0.04440154,0.005146279,4
11610,yam,2019_W16,0.010513681,0.001783601,0.010513239,0.061888355,0.010513154,5
11611,yam,2019_W16,0.002937379,0.000275967,0.002937141,0.031211662,0.002936962,3
11612,yam,2019_W16,0.000203476,7.35E-07,0.000203587,0.055839701,0.000203861,1
11613,yam,2019_W16,4.84E-06,7.58E-25,4.84E-06,2.9841E+13,4.84E-06,1
11614,yam,2019_W16,0.009553992,0.0013016,0.009553366,0.070025826,0.009552932,5
11615,yam,2019_W16,0.00454482,0.000524081,0.00454453,0.039348729,0.004544373,4
11616,yam,2019_W16,0.005251369,0.000587829,0.005251068,0.046834088,0.005250962,4
11601,yam,2019_W17,0.007807674,0.001669249,0.007807618,0.036469284,0.007808024,4
11602,yam,2019_W17,0.011976489,0.002605613,0.011976301,0.054977047,0.011976711,5
11603,yam,2019_W17,0.012451407,0.00276226,0.012451196,0.056055116,0.012451581,5
11604,yam,2019_W17,0.009945393,0.002179306,0.009945396,0.04532335,0.009946055,5
11605,yam,2019_W17,0.004022482,0.000752208,0.004022962,0.021463343,0.004024219,4
11606,yam,2019_W17,0.006220012,0.000920677,0.006219702,0.041960112,0.006219593,4
11607,yam,2019_W17,0.001812749,0.000158111,0.001812665,0.020742272,0.001812687,3
11608,yam,2019_W17,0.00733966,0.001026145,0.007339581,0.052406697,0.007340047,4
11609,yam,2019_W17,0.004012411,0.000417132,0.004012697,0.038500357,0.004013666,4
11610,yam,2019_W17,0.009842844,0.001643553,0.009842329,0.058867107,0.009842055,5
11611,yam,2019_W17,0.002417475,0.000197649,0.002417367,0.029508084,0.002417411,3
11612,yam,2019_W17,0.000127833,3.05E-07,0.000127927,0.053119818,0.000128149,1
11613,yam,2019_W17,4.26E-06,3.65E-26,4.26E-06,4.79229E+14,4.26E-06,1
11614,yam,2019_W17,0.008207733,0.001053197,0.008207178,0.063868064,0.00820679,4
11615,yam,2019_W17,0.004068918,0.000436968,0.00406858,0.037828767,0.004068291,4
11616,yam,2019_W17,0.005330052,0.00062052,0.005329788,0.045705962,0.005329752,4
11601,yam,2019_W18,0.00607954,0.001267314,0.006079739,0.029117602,0.006080551,4
11602,yam,2019_W18,0.009393058,0.002015066,0.00939314,0.043721248,0.009393929,5
