CRA_NAME,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
Georgetown,rsva,2018_W50,4.03E-07,6.85E-14,4.12E-07,2.040404506,4.32E-07,1
Green Lake,rsva,2018_W50,0.004540581,0.00023995,0.004545955,0.085131337,0.004557425,3
Greenwood/Phinney Ridge,rsva,2018_W50,4.09E-05,5.94E-08,4.13E-05,0.026315323,4.23E-05,2
Haller Lake,rsva,2018_W50,1.04E-05,7.83E-11,1.07E-05,1.172310054,1.13E-05,2
High Point,rsva,2018_W50,0.003080251,9.18E-05,0.003081841,0.102695628,0.003085448,3
Highland Park,rsva,2018_W50,4.80E-08,1.13E-54,4.82E-08,1.82E+39,4.88E-08,1
Interbay,rsva,2018_W50,0.000545714,1.48E-05,0.000545991,0.019933615,0.000546629,3
Judkins Park,rsva,2018_W50,0.029017418,0.007496184,0.029017015,0.112194737,0.029017907,5
Laurelhurst/Sand Point,rsva,2018_W50,0.000358819,2.90E-06,0.00035886,0.044148616,0.000359008,2
Licton Springs,rsva,2018_W50,1.03E-07,4.08E-15,1.08E-07,2.065056163,1.16E-07,1
Madison Park,rsva,2018_W50,3.62E-06,1.76E-12,3.68E-06,6.627699424,3.82E-06,1
Madrona/Leschi,rsva,2018_W50,0.003342814,0.000138409,0.003355829,0.078754146,0.003381974,3
Magnolia,rsva,2018_W50,2.56E-06,1.69E-11,2.62E-06,0.33657639,2.74E-06,1
Miller Park,rsva,2018_W50,2.36E-06,2.82E-11,2.43E-06,0.165573453,2.58E-06,1
Montlake/Portage Bay,rsva,2018_W50,9.85E-05,2.72E-07,9.99E-05,0.032905123,0.000102691,2
Mt. Baker/North Rainier,rsva,2018_W50,5.28E-06,4.27E-10,5.44E-06,0.054604715,5.77E-06,1
NA,rsva,2018_W50,8.51E-08,3.36E-55,8.54E-08,1.92E+40,8.64E-08,1
North Beach/Blue Ridge,rsva,2018_W50,5.80E-05,2.86E-08,5.96E-05,0.099815154,6.30E-05,2
North Beacon Hill/Jefferson Park,rsva,2018_W50,0.002117793,8.15E-05,0.002143726,0.05125712,0.002195821,3
North Capitol Hill,rsva,2018_W50,3.83E-08,1.78E-54,3.84E-08,7.29E+38,3.89E-08,1
North Delridge,rsva,2018_W50,8.72E-05,2.63E-08,8.85E-05,0.263207232,9.12E-05,2
Northgate/Maple Leaf,rsva,2018_W50,0.003835532,0.000775575,0.003835758,0.018934321,0.003836478,3
Olympic Hills/Victory Heights,rsva,2018_W50,0.000398944,6.13E-06,0.000400123,0.025441342,0.000402518,2
Pioneer Square/International District,rsva,2018_W50,0.003966206,0.000672118,0.003967695,0.023317747,0.003971008,3
Queen Anne,rsva,2018_W50,7.16E-05,5.60E-07,7.24E-05,0.008531059,7.41E-05,2
Rainier Beach,rsva,2018_W50,4.83E-05,4.00E-08,4.95E-05,0.050562106,5.19E-05,2
Ravenna/Bryant,rsva,2018_W50,0.000101799,7.11E-07,0.000102188,0.014193498,0.000102975,2
Riverview,rsva,2018_W50,0.000140097,3.40E-08,0.000140321,0.566985946,0.000140809,2
Roxhill/Westwood,rsva,2018_W50,1.24E-05,3.56E-10,1.25E-05,0.406284225,1.27E-05,2
Seward Park,rsva,2018_W50,1.24E-08,4.87E-16,1.29E-08,0.244508044,1.41E-08,1
South Beacon Hill/NewHolly,rsva,2018_W50,8.56E-07,9.00E-14,8.74E-07,7.141227508,9.10E-07,1
South Park,rsva,2018_W50,3.71E-08,1.89E-54,3.73E-08,6.46E+38,3.77E-08,1
Sunset Hill/Loyal Heights,rsva,2018_W50,3.41E-06,2.34E-09,3.61E-06,0.003624771,4.04E-06,1
University District,rsva,2018_W50,9.20E-06,1.34E-09,9.62E-06,0.048863577,1.05E-05,2
Wallingford,rsva,2018_W50,0.003296964,0.000671372,0.003298422,0.016127408,0.003301563,3
Wedgwood/View Ridge,rsva,2018_W50,0.008418145,0.001705156,0.008432898,0.041095689,0.008463087,4
West Seattle Junction/Genesee Hill,rsva,2018_W50,0.003683346,0.000214703,0.003685616,0.062804406,0.003690552,3
Whittier Heights,rsva,2018_W50,0.000500544,6.17E-06,0.000500242,0.040587798,0.000499718,3
Alki/Admiral,rsva,2018_W51,5.14E-07,2.14E-12,5.31E-07,0.101998355,5.66E-07,1
Arbor Heights,rsva,2018_W51,1.18E-05,2.09E-09,1.21E-05,0.057637033,1.26E-05,2
Ballard,rsva,2018_W51,0.001654987,8.62E-05,0.001656624,0.031508071,0.001660101,3
Beacon Hill,rsva,2018_W51,5.20E-06,3.11E-11,5.34E-06,0.736794669,5.63E-06,1
Belltown,rsva,2018_W51,0.000115085,4.58E-07,0.000118619,0.024335738,0.000125955,2
Broadview/Bitter Lake,rsva,2018_W51,0.005530681,0.000468211,0.00557338,0.062453156,0.005659514,4
Capitol Hill,rsva,2018_W51,0.000370554,2.88E-06,0.00037009,0.047771924,0.000369229,2
Cascade/Eastlake,rsva,2018_W51,8.98E-05,6.93E-07,9.32E-05,0.009425433,0.000100615,2
Cedar Park/Meadowbrook,rsva,2018_W51,0.009927346,0.002963768,0.009931673,0.033134936,0.009940853,4
Central Area/Squire Park,rsva,2018_W51,0.0026227,0.00040258,0.002632833,0.016693624,0.002653211,3
Columbia City,rsva,2018_W51,0.000424332,4.11E-06,0.000424775,0.043371436,0.000425759,3
Downtown Commercial Core,rsva,2018_W51,0.000528668,1.29E-05,0.000535834,0.020117239,0.000550817,3
Duwamish/SODO,rsva,2018_W51,0.00412194,0.000155271,0.004125172,0.108607195,0.004132164,3
Fauntleroy/Seaview,rsva,2018_W51,0.019351276,0.004434179,0.019349603,0.084377682,0.019347492,4
First Hill,rsva,2018_W51,0.000843504,4.40E-05,0.000850079,0.015430678,0.000863396,3
Fremont,rsva,2018_W51,0.003785272,0.000536617,0.003785957,0.026626656,0.003787648,3
Georgetown,rsva,2018_W51,9.99E-07,7.12E-13,1.02E-06,1.22500442,1.07E-06,1
Green Lake,rsva,2018_W51,0.005705958,0.000474944,0.005709952,0.068130272,0.005718613,4
Greenwood/Phinney Ridge,rsva,2018_W51,9.25E-05,3.64E-07,9.33E-05,0.022203565,9.51E-05,2
Haller Lake,rsva,2018_W51,2.19E-05,5.86E-10,2.25E-05,0.709173084,2.36E-05,2
High Point,rsva,2018_W51,0.004677103,0.000252334,0.004677953,0.086368817,0.004680236,3
Highland Park,rsva,2018_W51,8.97E-08,9.88E-52,9.00E-08,7.28E+36,9.09E-08,1
Interbay,rsva,2018_W51,0.00100738,5.42E-05,0.001007662,0.018655436,0.001008353,3
Judkins Park,rsva,2018_W51,0.029284648,0.008289624,0.029288528,0.103256985,0.029297862,5
Laurelhurst/Sand Point,rsva,2018_W51,0.000700125,1.29E-05,0.000700125,0.037853416,0.000700238,3
Licton Springs,rsva,2018_W51,2.82E-07,4.92E-14,2.92E-07,1.291023934,3.14E-07,1
Madison Park,rsva,2018_W51,7.58E-06,1.46E-11,7.70E-06,3.558421776,7.95E-06,2
Madrona/Leschi,rsva,2018_W51,0.00553711,0.000415019,0.005547513,0.072922775,0.005568655,4
Magnolia,rsva,2018_W51,6.25E-06,1.51E-10,6.38E-06,0.228368369,6.65E-06,1
Miller Park,rsva,2018_W51,5.78E-06,2.46E-10,5.94E-06,0.115780698,6.26E-06,1
Montlake/Portage Bay,rsva,2018_W51,0.000211475,1.50E-06,0.000213838,0.027925072,0.000218698,2
Mt. Baker/North Rainier,rsva,2018_W51,1.48E-05,3.96E-09,1.52E-05,0.047200246,1.60E-05,2
NA,rsva,2018_W51,1.58E-07,3.18E-52,1.59E-07,7.03E+37,1.60E-07,1
North Beach/Blue Ridge,rsva,2018_W51,0.000115206,1.61E-07,0.000118008,0.071598898,0.000123759,2
North Beacon Hill/Jefferson Park,rsva,2018_W51,0.004169834,0.000312822,0.004202362,0.053096278,0.004267461,3
North Capitol Hill,rsva,2018_W51,7.16E-08,1.51E-51,7.18E-08,3.03E+36,7.26E-08,1
North Delridge,rsva,2018_W51,0.000180216,1.60E-07,0.00018248,0.187919745,0.0001871,2
Northgate/Maple Leaf,rsva,2018_W51,0.004433253,0.001093193,0.004433892,0.017940812,0.004435435,3
Olympic Hills/Victory Heights,rsva,2018_W51,0.000707608,2.27E-05,0.00070877,0.021781967,0.000711165,3
Pioneer Square/International District,rsva,2018_W51,0.0055482,0.001278307,0.005551543,0.023967843,0.005558613,4
Queen Anne,rsva,2018_W51,0.000160559,3.00E-06,0.000162026,0.008144951,0.000165051,2
